iucn_sid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
133008,Fungia spinifer,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,NA,"Claereboudt &amp; Hoeksema, 1987",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,18,40,NA,NA,NA,NA
133010,Acropora elseyi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"(Brook, 1892)",2008,2008-01-01,LC,NA,Decreasing,TRUE,FALSE,FALSE,"Richards, Z., Delbeek, J.C., Lovell, E., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,5,15,NA,NA,NA,NA
133011,Pocillopora ankeli,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,NA,"Scheer &amp; Pillai, 1974",2008,2008-01-01,VU,A4c,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B., Rogers, A. & Quibilan, M.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,1,10,NA,NA,NA,NA
133013,Acropora grandis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"(Brook, 1892)",2014,2008-01-03,LC,NA,Decreasing,TRUE,FALSE,FALSE,"Richards, Z.T., Delbeek, J.T., Lovell, E.R., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,5,25,NA,NA,NA,NA
133015,Montipora millepora,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,NA,"Crossland, 1952",2008,2008-01-01,LC,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,2,30,NA,NA,NA,NA
133016,Porites vaughani,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,NA,"Crossland, 1952",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,40,NA,NA,NA,NA
133020,Acropora tenuis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"(Dana, 1846)",2014,2008-01-03,NT,NA,Decreasing,TRUE,FALSE,FALSE,"Richards, Z.T., Delbeek, J.T., Lovell, E.R., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,8,20,NA,NA,NA,NA
133021,Acropora microphthalma,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"(Verrill, 1859)",2014,2008-01-03,LC,NA,Decreasing,TRUE,FALSE,FALSE,"Richards, Z.T., Delbeek, J.T., Lovell, E.R., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,5,25,NA,NA,NA,NA
133023,Porites lichen,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,NA,"Dana, 1846",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,30,NA,NA,NA,NA
133024,Merulina scabricula,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Merulina,NA,"Dana, 1846",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, C., Turak, E. & Wood, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,40,NA,NA,NA,NA
133025,Acropora vaughani,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"Wells, 1954",2014,2008-01-03,VU,A4ce,Decreasing,TRUE,FALSE,FALSE,"Richards, Z.T., Delbeek, J.T., Lovell, E.R., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,3,20,NA,NA,NA,NA
133026,Mycedium mancaoi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Mycedium,NA,"Nemenzo, 1979",2008,2008-01-01,LC,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133028,Seriatopora caliendrum,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Seriatopora,Birdsnest Coral,"Ehrenberg, 1834",2014,2008-01-03,NT,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,40,NA,NA,NA,NA
133029,Favia rotumana,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,NA,"(Gardiner, 1899)",2014,2008-01-03,LC,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,30,NA,NA,NA,NA
133030,Acropora tutuilensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"Hoffmeister, 1925",2008,2008-01-01,DD,NA,Decreasing,TRUE,FALSE,FALSE,"E. Lovell, G. Aeby, Z. Richards, J.C. Delbeek, C. Reboton & D. Bass","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,3,20,NA,NA,NA,NA
133033,Acropora pulchra,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"(Brook, 1891)",2008,2008-01-01,LC,NA,Decreasing,TRUE,FALSE,FALSE,"Aeby, G., Lovell, E., Richards, Z., Delbeek, J.C., Reboton, C. & Bass, D.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,1,20,NA,NA,NA,NA
133034,Fungia fragilis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,NA,"(Hoeksema, 1989)",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Wood, E., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,40,NA,NA,NA,NA
133035,Acropora insignis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"Nemenzo, 1967",2008,2008-01-01,DD,NA,Decreasing,TRUE,FALSE,FALSE,"Richards, Z., Delbeek, J.C., Lovell, E., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,0.5,30,NA,NA,NA,NA
133038,Porites nigrescens,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,NA,"Dana, 1846",2014,2008-01-03,VU,A4cde,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,0.5,20,NA,NA,NA,NA
133040,Echinopora mammiformis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,NA,"(Nemenzo, 1959)",2008,2008-01-01,NT,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,3,15,NA,NA,NA,NA
133041,Pavona decussata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,Cactus Coral,"(Dana, 1846)",2014,2008-01-03,VU,A4c,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,3,15,NA,NA,NA,NA
133043,Psammocora digitata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,NA,Milne Edwards and Haime 1851,2014,2008-01-03,NT,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, C., Turak, E. & Wood, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,20,NA,NA,NA,NA
133044,Cantharellus jebbi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Cantharellus,NA,"Hoeksema, 1993",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Wood, E., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,10,25,NA,NA,NA,NA
133045,Pocillopora ligulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,NA,"Dana, 1846",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133046,Anacropora spinosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Anacropora,NA,"Rehberg, 1892",2014,2008-01-03,EN,A4ce,Decreasing,TRUE,FALSE,FALSE,"Richards, Z.T., Delbeek, J.T., Lovell, E.R., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,5,15,NA,NA,NA,NA
133048,Astreopora suggesta,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,NA,"Wells, 1954",2008,2008-01-01,LC,NA,Decreasing,TRUE,FALSE,FALSE,"Aeby, G., Lovell, E., Richards, Z., Delbeek, J.C., Reboton, C. & Bass, D.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,5,15,NA,NA,NA,NA
133049,Stylocoeniella guentheri,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Stylocoeniella,NA,"Bassett-Smith, 1890",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Turak, E., Sheppard, C. & Wood, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,3,50,NA,NA,NA,NA
133054,Goniopora tenuidens,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,NA,"Quelch, 1886",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,2,30,NA,NA,NA,NA
133055,Favites halicora,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,NA,"(Ehrenberg, 1834)",2014,2008-01-03,NT,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,0,20,NA,NA,NA,NA
133058,Echinophyllia echinata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,NA,"(Saville-Kent, 1871)",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,5,40,NA,NA,NA,NA
133059,Platygyra verweyi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,NA,"Wijsman-Best, 1976",2008,2008-01-01,NT,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,1,20,NA,NA,NA,NA
133060,Goniastrea favulus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,NA,"(Dana, 1846)",2008,2008-01-01,NT,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,0,15,NA,NA,NA,NA
133063,Polyphyllia talpina,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Polyphyllia,Feather Coral,"(Lamarck, 1801)",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,30,NA,NA,NA,NA
133066,Montipora informis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,NA,"Bernard, 1897",2014,2008-01-03,LC,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,20,NA,NA,NA,NA
133068,Platygyra sinensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,NA,"(Milne Edwards &amp; Haime, 1849)",2008,2008-01-01,LC,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,0,30,NA,NA,NA,NA
133069,Astreopora cucullata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,NA,"Lamberts, 1980",2008,2008-01-01,VU,A4ce,Decreasing,TRUE,FALSE,FALSE,"Bass, D., Reboton, C., Lovell, E., Aeby, G., Richards, Z. & Delbeek, J.C.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,5,15,NA,NA,NA,NA
133070,Montastrea colemani,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,NA,"Veron, 2002",2014,2008-01-03,NT,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,0,20,NA,NA,NA,NA
133071,Montipora foliosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,NA,"(Pallas, 1766)",2014,2008-01-03,NT,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,2,20,NA,NA,NA,NA
133075,Palauastrea ramosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Palauastrea,NA,"Yabe &amp; Sugiyama, 1941",2008,2008-01-01,NT,NA,Unknown,TRUE,FALSE,FALSE,"Turak, E., Sheppard, C. & Wood, E.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,1,30,NA,NA,NA,NA
133076,Lobophyllia robusta,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Lobophyllia,NA,"Yabe &amp; Sugiyama, 1936",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Turak, E., Sheppard, C. & Wood, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,2,40,NA,NA,NA,NA
133080,Acropora selago,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"(Studer, 1878)",2008,2008-01-01,NT,NA,Decreasing,TRUE,FALSE,FALSE,"Richards, Z., Delbeek, J.C., Lovell, E., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,5,25,NA,NA,NA,NA
133081,Acropora kirstyae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"Veron &amp; Wallace, 1984",2008,2008-01-01,VU,A4ce,Decreasing,TRUE,FALSE,FALSE,"Richards, Z., Delbeek, J.C., Lovell, E., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,10,25,NA,NA,NA,NA
133082,Porites lutea,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,NA,"Milne Edwards &amp; Haime, 1851",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,0,30,NA,NA,NA,NA
133083,Ctenactis albitentaculata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Ctenactis,NA,"Hoeksema, 1989",2014,2008-01-03,NT,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Wood, E., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,6,20,NA,NA,NA,NA
133084,Barabattoia amicorum,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Barabattoia,NA,"(Milne Edwards &amp; Haime, 1850)",2014,2008-01-03,LC,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,0,20,NA,NA,NA,NA
133087,Acropora subglabra,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"(Brook, 1891)",2014,2008-01-03,LC,NA,Decreasing,TRUE,FALSE,FALSE,"Richards, Z.T., Delbeek, J.T., Lovell, E.R., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,5,25,NA,NA,NA,NA
133088,Echinopora lamellosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,NA,(Esper 1795),2014,2008-01-03,LC,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,40,NA,NA,NA,NA
133090,Leptastrea purpurea,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,NA,"(Dana, 1846)",2014,2008-01-03,LC,NA,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,0,30,NA,NA,NA,NA
133091,Leptoseris scabra,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,NA,"Vaughan, 1907",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,8,30,NA,NA,NA,NA
133094,Psammocora nierstraszi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,NA,Horst 1921,2008,2008-01-01,LC,NA,Stable,TRUE,FALSE,FALSE,"Sheppard, C., Turak, E. & Wood, E.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,1,30,NA,NA,NA,NA
133095,Pocillopora meandrina,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,NA,"Dana, 1846",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,27,NA,NA,NA,NA
133097,Pocillopora danae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,NA,"Verrill, 1864",2014,2008-01-03,VU,A4ce,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,15,NA,NA,NA,NA
133098,Leptoseris papyracea,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,NA,"(Dana, 1846)",2014,2008-01-03,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,25,NA,NA,NA,NA
133099,Pocillopora elegans,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,NA,"Dana, 1846",2014,2008-01-03,VU,A4ce,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B.W., Rogers, A. & Quibilan, M.C.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,20,NA,NA,NA,NA
133105,Porites murrayensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,NA,"Vaughan, 1918",2014,2008-01-03,NT,NA,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,0,5,NA,NA,NA,NA
133106,Acanthastrea hillae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,NA,"Wells, 1955",2014,2008-01-03,NT,NA,Unknown,TRUE,FALSE,FALSE,"Turak, E., Sheppard, C. & Wood, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,2,20,NA,NA,NA,NA
133107,Porites attenuata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,NA,"Nemenzo, 1955",2008,2008-01-01,VU,A4cde,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,2,20,NA,NA,NA,NA
133110,Ctenactis crassa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Ctenactis,NA,"(Dana, 1846)",2008,2008-01-01,LC,NA,Unknown,TRUE,FALSE,FALSE,"Hoeksema, B., Wood, E., Rogers, A. & Quibilan, M.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,3,25,NA,NA,NA,NA
133112,Acropora caroliniana,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"Nemenzo, 1976",2008,2008-01-01,VU,A4ce,Decreasing,TRUE,FALSE,FALSE,"Richards, Z., Delbeek, J.C., Lovell, E., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,10,25,NA,NA,NA,NA
133116,Plerogyra simplex,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Plerogyra,NA,"Rehberg, 1892",2014,2008-01-03,NT,NA,Unknown,TRUE,FALSE,FALSE,"Turak, E., Sheppard, C. & Wood, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,3,30,NA,NA,NA,NA
133117,Montipora lobulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,NA,"Bernard, 1897",2014,2008-01-03,VU,A4c,Decreasing,TRUE,FALSE,FALSE,"DeVantier, L., Hodgson, G., Huang, D., Johan, O., Licuanan, A., Obura, D.O., Sheppard, C., Syahrir, M. & Turak, E.","Livingstone, S., Polidoro, B. & Smith, J.",NA,NA,NA,NA,1,20,NA,NA,NA,NA
133118,Porites sillimaniana,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,NA,"Nemenzo, 1976",2008,2008-01-01,VU,A4cde,Unknown,TRUE,FALSE,FALSE,"Sheppard, A., Fenner, D., Edwards, A., Abrar, M. & Ochavillo, D.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,1,5,NA,NA,NA,NA
133120,Acropora latistella,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,NA,"(Brook, 1891)",2008,2008-01-01,LC,NA,Decreasing,TRUE,FALSE,FALSE,"Richards, Z., Delbeek, J.C., Lovell, E., Bass, D., Aeby, G. & Reboton, C.","Livingstone, S., Polidoro, B. & Smith, J. (Global Marine Species Assessment)",NA,NA,NA,NA,3,20,NA,NA,NA,NA
