iucn_sid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
16545253,Psenes cyanophrys,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,NOMEIDAE,Psenes,Freckled Driftfish,"Valenciennes, 1833",2015,2013-01-29,LC,NA,Unknown,TRUE,FALSE,FALSE,"Singh-Renton, S., Pina Amargos, F., Aiken, K.A., Dooley, J., Collette, B.B., Marechal, J. & Kishore, R.","Cox, N.A.",NA,NA,NA,NA,0,550,TRUE,This errata assessment has been created because the map was accidentally left out of the version published previously.,NA,NA
16545256,Psenes pellucidus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,NOMEIDAE,Psenes,Bluefin Driftfish,"Lütken, 1880",2015,2013-01-13,LC,NA,Unknown,TRUE,FALSE,FALSE,"Dooley, J., Marechal, J., Pina Amargos, F., Aiken, K.A., Collette, B.B., Singh-Renton, S. & Kishore, R.","Cox, N.A.",NA,NA,NA,NA,0,1000,TRUE,This errata assessment has been created because the map was accidentally left out of the version published previously.,NA,NA
16719296,Gnathodentex aureolineatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Gnathodentex,Striped Large-eye Bream,"(Lacepède, 1802)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,3,30,NA,NA,NA,NA
16719387,Gymnocranius euanus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Gymnocranius,Japanese Large-eye Bream,"(Günther, 1879)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,15,50,NA,NA,NA,NA
16719605,Gymnocranius grandoculis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Gymnocranius,Blue-lined Large-eye Bream,"(Valenciennes, 1830)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,20,170,NA,NA,NA,NA
16719651,Gymnocranius griseus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Gymnocranius,Grey Large-eye Bream,"(Temminck &amp; Schlegel, 1843)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,20,80,NA,NA,NA,NA
16719685,Gymnocranius microdon,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Gymnocranius,Blue-spotted Large-eye Bream,"(Bleeker, 1851)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,15,50,NA,NA,NA,NA
16719839,Lethrinus amboinensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Ambon Emperor,"Bleeker, 1854",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,5,30,NA,NA,NA,NA
16719843,Lethrinus atkinsoni,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Pacific Yellowtail Emperor,"Seale, 1910",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,2,30,NA,NA,NA,NA
16719994,Lethrinus erythracanthus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Orange-spotted Emperor,"Valenciennes, 1830",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,20,120,NA,NA,NA,NA
16720002,Lethrinus erythropterus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Longfin Emperor,"Valenciennes, 1830",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,2,25,NA,NA,NA,NA
16720022,Lethrinus harak,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LETHRINIDAE,Lethrinus,Thumbprint Emperor,"(Forsskål, 1775)",2016,2015-03-09,LC,NA,Unknown,TRUE,FALSE,FALSE,"Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",NA,NA,NA,NA,NA,50,NA,NA,NA,NA
