iucn_sid,eez_km2,nms_km2,terr_km2
133548,4100,0,3900
133551,4100,0,3900
133553,4100,0,3900
133555,300,0,300
133556,300,0,300
133557,4100,0,3900
133558,4100,0,3900
133559,4100,0,3900
133560,4100,0,3900
133563,300,0,300
133566,4100,0,3900
133567,3800,0,3600
133569,4100,0,3900
133570,4100,0,3900
133576,4100,0,3900
133578,300,0,300
133580,3800,0,3600
133581,3800,0,3600
133582,4100,0,3900
133585,300,0,300
133587,4100,0,3900
133588,4100,0,3900
133589,300,0,300
133590,300,0,300
133592,73700,62000,11700
133593,4100,0,3900
133595,4100,0,3900
133599,4100,0,3900
133601,300,0,300
133603,4100,0,3900
133606,4100,0,3900
133607,4100,0,3900
133613,4100,0,3900
133615,300,0,300
133616,4100,0,3900
133619,300,0,300
133621,4100,0,3900
133622,300,0,300
133623,300,0,300
133628,4100,0,3900
133633,4100,0,3900
133634,4100,0,3900
133635,4100,0,3900
133636,4100,0,3900
133638,4100,0,3900
133640,3800,0,3600
133641,4100,0,3900
133644,4100,0,3900
133646,4100,0,3900
133647,300,0,300
133648,4100,0,3900
133649,4100,0,3900
133651,4100,0,3900
133652,4100,0,3900
133654,4100,0,3900
133658,4000,0,3800
133660,4100,0,3900
133661,4100,0,3900
133662,4100,0,3900
133666,4100,0,3900
133668,4100,0,3900
133669,300,0,300
133673,4100,0,3900
133674,300,0,300
133675,300,0,300
133676,4100,0,3900
133678,73700,62000,11700
133679,300,0,300
133682,300,0,300
133685,4100,0,3900
133693,4100,0,3900
133695,300,0,300
133696,300,0,300
133697,4100,0,3900
133698,300,0,300
133700,4100,0,3900
133702,4100,0,3900
135567,4100,0,3900
136623,616200,476200,24200
154623,4100,0,3900
154643,3100,0,2900
154670,4100,0,3900
154676,3900,0,3700
154677,4100,0,3900
154678,63000,29900,12400
154712,616200,476200,24200
154759,300,0,300
154760,4100,0,3900
154812,300,0,300
154844,136300,91600,24100
154848,4100,0,3900
154850,4100,0,3900
154861,4100,0,3900
154863,4100,0,3900
154868,3800,0,3600
154872,92500,54500,17300
154898,3800,0,3600
154916,616200,476200,24200
154952,4100,0,3900
154959,136300,91600,24100
154960,4100,0,3900
154967,3800,0,3600
154978,4000,0,3800
154998,616200,476200,24200
154999,136400,91700,24100
155014,136400,91700,24100
155029,3900,0,3700
155034,3800,0,3600
155050,4000,0,3800
155068,616200,476200,24200
155075,616200,476200,24200
155089,3800,0,3600
155097,4100,0,3900
155102,4100,0,3900
155112,582600,442600,24200
155120,4100,0,3900
155130,136700,91900,24100
155144,100,0,100
155146,4100,0,3900
155151,100,0,100
155153,4100,0,3900
155176,4100,0,3900
155221,63000,29900,12400
155229,4100,0,3900
