iucn_sid,eez_km2,nms_km2,terr_km2,sciname,kingdom,phylum,class,order,family,genus,comname,category,criteria,population_trend,depth_upper,depth_lower,depth_class,hab,habitat
11048,616200,476200,24200,Kogia sima,Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Kogia,Dwarf Sperm Whale,DD,NA,Unknown,NA,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
11048,616200,476200,24200,Kogia sima,Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Kogia,Dwarf Sperm Whale,DD,NA,Unknown,NA,NA,200 m +,10.3,Marine Oceanic - Bathypelagic (1000-4000m)
11060,4100,0,3900,Kuhlia marginata,Animalia,Chordata,Actinopterygii,Perciformes,Kuhliidae,Kuhlia,Silver Flagtail,LC,NA,Stable,0,50,< 200 m,9.10,Marine Neritic - Estuaries
11140,616200,476200,24200,Lagenodelphis hosei,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenodelphis,Fraser's Dolphin,LC,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
11140,616200,476200,24200,Lagenodelphis hosei,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenodelphis,Fraser's Dolphin,LC,NA,Unknown,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
11140,616200,476200,24200,Lagenodelphis hosei,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenodelphis,Fraser's Dolphin,LC,NA,Unknown,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
11150,300,0,300,Lagocephalus gloveri,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Lagocephalus,Brown-backed Toadfish,DD,NA,Decreasing,1,100,< 200 m,9.10,Marine Neritic - Estuaries
11150,300,0,300,Lagocephalus gloveri,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Lagocephalus,Brown-backed Toadfish,DD,NA,Decreasing,1,100,< 200 m,9.4,Marine Neritic - Subtidal Sandy
11150,300,0,300,Lagocephalus gloveri,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Lagocephalus,Brown-backed Toadfish,DD,NA,Decreasing,1,100,< 200 m,9.5,Marine Neritic - Subtidal Sandy-Mud
11150,300,0,300,Lagocephalus gloveri,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Lagocephalus,Brown-backed Toadfish,DD,NA,Decreasing,1,100,< 200 m,9.6,Marine Neritic - Subtidal Muddy
11534,616200,476200,24200,Lepidochelys olivacea,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Olive Ridley,VU,A2bd,Decreasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
11534,616200,476200,24200,Lepidochelys olivacea,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Olive Ridley,VU,A2bd,Decreasing,NA,NA,200 m +,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"
11534,616200,476200,24200,Lepidochelys olivacea,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Olive Ridley,VU,A2bd,Decreasing,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
11534,616200,476200,24200,Lepidochelys olivacea,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Olive Ridley,VU,A2bd,Decreasing,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
